Question,Answer
How can I register for the hackathon online?,You can register for the hackathon by visiting the Devfolio website. Simply navigate to the registration section to get started!
Is there an offline registration option?,"Unfortunately, there are no offline registration options available for this hackathon. All registrations must be completed online."
What is the registration link?,The registeration link is https://devfolio.co/hackathons.
Is there a registration form I need to fill out?,"Yes, to complete your registration, you will need to fill out a registration form. This helps us gather important information about you and your team."
Do I need to create an account to register?,"Yes, you will need to create an account on the Devfolio website to register for the hackathon. This allows you to manage your registration and stay updated on event information."
Can I register using my social media account?,"Yes, you can conveniently register using your social media account! Just choose your preferred platform during the registration process to log in quickly."
Is there a minimum age requirement for registration?,"No, there is no minimum age requirement for registration. We welcome participants of all ages to join the hackathon!"
Can I register if I'm a student?,"Absolutely! We encourage students to register for the event. It's a great opportunity to learn, collaborate, and network with other like-minded individuals."
Can I register if I'm a professional?,"Yes, professionals are definitely encouraged to register for the event! We believe that diverse participation enriches the experience for everyone involved and fosters valuable networking opportunities."
Can I register if I'm from outside the city/state/country?,Yes We welcome participants from all locations.
Is there a registration fee?,"No, there is no registration fee for this hackathon. We welcome everyone to join without any financial barriers!"
What is the registration fee amount?,There is currently no registration fee required. We invite all interested participants to register for the hackathon at no cost!
Are there any discounts or promotions for early registration?,"At this time, we do not offer any discounts or promotions for early registration. However, we encourage you to register as soon as possible to secure your spot!"
Is there a refund policy for the registration fee?,"Since there is no registration fee, there is no need for a refund policy. We want to ensure that participating in this hackathon is completely hassle-free!"
What happens if I miss the payment deadline?,"No worries! There is no payment required for registration in this hackathon, so you donâ€™t have to worry about missing any payment deadlines."
What is the last date for registration?,The last date for registration is the end of January. Be sure to register before then to secure your spot!
Is there an extension for the registration deadline?,"Currently, there is no extension for the registration deadline. However, if any changes occur, we will notify all participants immediately."
How can I check my registration status?,You can easily check your registration status by logging into your account on the Devfolio website. All the details related to your registration will be available there.
Can I modify my registration details after submitting?,"Yes, you can modify your registration details even after submission! Simply log in to your account on the Devfolio website to make any necessary changes."
Can I register as a team?,"Yes, you can register as a team! Please make sure that all team members register under the same team name for consistency."
What is the maximum team size?,The maximum team size for the hackathon is 4 members. Be sure to keep your team within this limit!
Are there any restrictions on team composition?,"No, there are no restrictions regarding team composition. We encourage diverse teams!"
Can I register as an individual?,Absolutely! You can register as an individual if you prefer not to join a team.
Can I join an existing team?,"Yes if you know a team that is looking for additional members, you can join an existing team. Please ensure you have their team code for registration."
How do I form a team?,"To form a team, gather your teammates and have one member register the team through the registration link. They will need to provide the team name and details."
Can I change my team after registration?,"Once registered, changes to team composition can be made by contacting our support team. Please provide the necessary details for any changes."
Can I join multiple teams?,No Joining one team or participation individually is allowed only.
When does the hackathon start?,It will start in Feb 1st week.
What is the duration of the hackathon?,"The hackathon will be a 3-day event, packed with exciting challenges and opportunities."
Is there a specific theme for the hackathon?,"There is no specific theme for this hackathon, allowing for a wide range of creative solutions!"
"What is the event format (in-person, online, hybrid)?","The event will be in-person, meaning all teams must be present at the designated location."
Is it possible to participate virtually?,"Unfortunately, No you and your must be present at the designated location."
Where will the hackathon be held?,The hackathon will take place at the IIIT Kota Campus. We look forward to seeing you there!
What are the event timings?,Events will begin at 10:00 AM each day. Be sure to arrive on time!
Is there a schedule for the event?,The detailed schedule of the event will be available in the first week of January. Stay tuned for updates!
Are there any workshops or talks planned?,"Yes there are events planned like CSS battle, Kaggle war and more."
Is there a networking event?,Yes there are Open mike Sessions planned.
Is there a hackathon after-party?,No there is no such thing planned for this hackathon.
Is there a keynote speaker?,Yes there will be a speaker in inaugaration of hackathon.
Who are the keynote speakers?,Name of the speaker will be announced on HackTheChain website.
Are there any industry experts or celebrities attending?,Yes there are sessions planned for this.
Will there be mentors available to guide participants?,Yes there will be mentors for guidance.
Who are the mentors?,Codebase team will mentor you for any difficulties regarding ideation aspect.
What are the mentors expertise?,For now Codebase team is mentoring you.
How can I request a mentor?,You talk to any codebase member for any doubt.
Can I meet with a mentor one-on-one?,CodeBase Team will be mentoring you.
Is plagiarism allowed?,No plagiarism is strictly prohibited all work must be original and properly attributed.
What are the consequences of plagiarism?,If plagiarism is detected the team or individual may face disqualification from the hackathon.
What happens if I violate the rules of the hackathon?,"Violating hackathon rules can result in warnings, penalties, and immediate disqualification depending on the severity of the infraction."
Can I appeal a decision if I am disqualified?,"Yes participants may appeal a disqualification decision, but the final decision rests with the codebase members."
Is mentor support available throughout the event?,Yes the Codebase team will be available to mentor participants throughout the event to provide support and guidance.
How can I contact a mentor?,"You can reach out to a Codebase team mentor via the official communication channels such as  Discord, email or Instagram and LinkedIn handles."
Can I request a mentor for specific help?,"Yes you can request specific assistance from the Codebase team for any part of your project, whether technical or non-technical."
Are there any limitations on the number of mentor requests?,"There are no strict limitations, but we encourage you to be considerate and respectful of other participants' need for mentorship from the Codebase team."
Can I get help with my project idea or development?,"Absolutely! The Codebase team is here to assist with brainstorming, refining your project idea, and guiding you through development."
Can I get feedback on my project from a mentor?,Yes the Codebase team will provide constructive feedback on your project to help you improve and optimize it.
Can I get help with technical issues?,Yes the Codebase team is available to help troubleshoot and resolve any technical challenges you encounter during the hackathon.
How do I know which mentor to approach?,A mentor list with their areas of expertise will be provided. You can choose a mentor based on your project's requirements or the specific skills you need help with.
Are there any mentors with specific expertise in my area of interest?,"Yes mentors with a wide range of expertise, including technical and domain-specific areas, will be available."
Can I request a mentor based on their experience or background?,Absolutely! You are encouraged to request a mentor whose background and experience match the support you need for your project.
Are there any mentors who have participated in previous hackathons?,"Yes mentors have experience participating in and mentoring at hackathons, which makes them well-equipped to guide you through the challenges."
Can I participate if I am a minor?,Yes you can participate.
Is there a prize for the winning team?,Absolutely! winning team will get a prize of  $100 cash.
What is the prize?,Winning team will get $100 cash.
How will the winner be determined?,Best submitted idea and reliable approach to implement it will be declared as winner.
Is there a judging panel?,Yes there will be judging panel.
What are the judging criteria?,Most important part will be your idea and then execution.
Is there a dress code for the event?,Yes dress should be formal.
Is there a food and beverage area?,Yes there is canteen and food stalls at academic and entrance gate.
Are there any accommodations available for participants?,No there will be no separate rooms for participants.
Is there a transportation service provided?,"Unfortunately, there won't be any transportation services available."
Can I bring my own laptop or equipment?,Yes you can bring your own laptops.
Is there a Wi-Fi connection available?,Yes connectivity will be provided.
Can I use my phone during the event?,Yes you can use your phone during events.
Are there any safety precautions in place?,Safety precautions aren't required for this event.
Is there insurance coverage for participants?,Unfortunately there won't be any insurance coverage provided for participants.
